name,description,price,picture,category_id,user_id
Running Shoes, Its gradient jacquard-mesh FluidFit upper strategically adapts to your foot's natural motion while 3-D printed overlays offer extra support to give you a customized fit that keeps you going mile after mile. ,150,,1,1
Dry Shorts Men,"VENTILATED, SWEAT-WICKING COMFORT. The lightweight Men's Nike Challenger Running Shorts feature made-to-move fabric and perforated panels so you can go the distance in cooling comfort.",7,,1,1
Flip Belt,"Minimal design & maximum comfort
The newest addition to the FlipBelt family has a secure zipper pocket and it is wider to accommodate even the largest phones such as the iPhone 6 Plus, Samsung Note 5 or a passport. ",30,,1,1
Running Backpack,Running with your gear is more comfortable than ever in this lightweight backpack that fits your body as well as any running top. All your stuff stays safe and secure in the main zip compartment.,45,,1,1
Plate Powe Handball Shoes,"The Hummel Dual Plate Power training shoe for men combines ultramodern technology with a convincing appearance thanks to their modern, stylish design. ",67,,2,2
Team T-Shirt,The ideal companion for sports and casual-wear. Comfortable to wear thanks to hypoallergenic cotton fabric.,10,,2,2
Ultima Handbal,This mini handball 3-layered statisfies the needs of the NHV for the new ,25,,2,1
Coach Board  Handball,Coachboard designed for handball. This board for coaches can be used to prepare your team for a difficult game or to discuss some new tactics. With the 2 sides you can discuss everything to the smallest details. One side shows a complete handball court while the other side shows only one-half.,10,,2,1
Volleyball MT530,Volleyball MT530,50,,3,2
Funk Sweater,Unisex full-zip hoody for adults (men and women). Distinctive contrasting lining. Customisable coloured inlaids on the chest and on the sleeve. ,20,,3,2
Polo T-Shirt,"Sporty, functional polo-shirt for sport and leisure. Very comfortable, quick-drying and moisture-regulating material.",29,,3,2
Knee Pad,"It is important to have protection around the knee to prevent injuries. The LP knee pad is a protection made of neoprene which is strong, durable and water-repellent",25,,3,2
Squashbal Pro,Squashbal Pro ,3,,4,1
Polo Jersey Men,100% polyester- Quick-dry material - Body moisture is transported quickly - Mesh under the armpits for excellent ventilation,14,,4,2
Striped Shirt Men,Authentic stylized crew neck collar with contrast mesh,10,,4,2
Viper 5 Shoes,"Fast paced and agile, a low profile and excellent stability characteristics, Viper enables an impeccable close-to-the-ground court feel. ",120,,4,2
Backpack,"The large main compartment with a large opening makes it easy to put in/take out items. Two side pockets and a zippered pocket in the front. Handle at the top, narrow, supple shoulder straps, sitting pad in the pocket in the back and logo that doubles as a reflector. ",89,,5,1
Traveller Carbon,"This walking stick is small, light and very strong. Extremely suitable to take on a journey. The stick exists out of three parts and is retractable up to 62 centimeters.",130,,5,1
Walking Speed Tip,Walking through mud or snow and need some additional grip? This is the one you are looking fo,11,,5,1
GTX Mid Men,"This style is a classic among multi-functional boots, thanks to its stable upper of nubuck leather and an innovative sole construction. It can be called into duty for a wide variety of needs yet is outstandingly suitable for hikes on groomed trails.",120,,5,1
Hockey Stick Carbon,"A CARBON FIELD HOCKEY STICK WITH AN EXTRA-LOW-BOW PROFILE. Designed for optimal ball control, this stick has a carbon shaft that's layered for stiffness to give you maximum hitting power.",250,,6,2
Hockey Stick Classic,Thi is an allround stick that combines 40% carbon with a healthy blend between impact and ball feeling.,40,,6,2
Large Stickbag,"The bag features distinctive  styling, perfect for players looking for a relatively compact bag  with tons of storage space.",78,,6,2
Small Backpack,"Thi Black Label Small Backpack is a fashionable backpack with a tight design. Handy to take to your hockey match, but of course very cool to take to school as well! ",53,,6,1
,,,,,
